name,address,mobile,Checkin,Checkout,stay
Tanisha,"53,Karol Bagh",9876546476,10/1/2022,12/1/2022,2
Aman,"45,London",8758567463,12/1/2022,17/1/2022,5
Geeta,"34,Jersey",8765656587,15/1/2022,18/1/2022,3
raj,"25,Dwarka",6748356752,14/2/2022,16/08/2022,2
ankit,"45,rajnagar",7653478595,17/3/2022,22/3/2022,5
jennie,"24,ML road",6745749383,16/4/2022,18/4/2022,2
rohan,"67,akbar road",7644846494,12/5/2022,15/5/2022,3
aman,"57,ramgarhi",8765476484,27/6/2022,29/6/2022,2
rani,"26,sarojini",9765846454,25/7/2022,29/7/2022,4
ram,"19,mathura",9654656343,23/8/2022,26/8/2022,3
